Year,Race,Sex,Average Life Expectancy (Years),Age-adjusted Death Rate,QuestionID,Age(years),Data_Value,Question
2018,All Races,Both Sexes,78.7,723.6,Q036,18 - 24,18.594444444444445,Percent of adults aged 18 years and older who have obesity
2018,All Races,Both Sexes,78.7,723.6,Q036,25 - 34,30.35,Percent of adults aged 18 years and older who have obesity
2018,All Races,Both Sexes,78.7,723.6,Q036,35 - 44,35.077777777777776,Percent of adults aged 18 years and older who have obesity
2018,All Races,Both Sexes,78.7,723.6,Q036,45 - 54,37.701851851851856,Percent of adults aged 18 years and older who have obesity
2018,All Races,Both Sexes,78.7,723.6,Q036,55 - 64,35.327777777777776,Percent of adults aged 18 years and older who have obesity
2018,All Races,Both Sexes,78.7,723.6,Q036,65 or older,28.70925925925926,Percent of adults aged 18 years and older who have obesity
2018,All Races,Both Sexes,78.7,723.6,Q037,18 - 24,25.76851851851852,Percent of adults aged 18 years and older who have an overweight classification
2018,All Races,Both Sexes,78.7,723.6,Q037,25 - 34,32.638888888888886,Percent of adults aged 18 years and older who have an overweight classification
2018,All Races,Both Sexes,78.7,723.6,Q037,35 - 44,35.233333333333334,Percent of adults aged 18 years and older who have an overweight classification
2018,All Races,Both Sexes,78.7,723.6,Q037,45 - 54,35.701851851851856,Percent of adults aged 18 years and older who have an overweight classification
2018,All Races,Both Sexes,78.7,723.6,Q037,55 - 64,37.270370370370365,Percent of adults aged 18 years and older who have an overweight classification
2018,All Races,Both Sexes,78.7,723.6,Q037,65 or older,38.803703703703704,Percent of adults aged 18 years and older who have an overweight classification
2018,All Races,Both Sexes,78.7,723.6,Q047,18 - 24,16.585185185185185,Percent of adults who engage in no leisure-time physical activity
2018,All Races,Both Sexes,78.7,723.6,Q047,25 - 34,18.962962962962962,Percent of adults who engage in no leisure-time physical activity
2018,All Races,Both Sexes,78.7,723.6,Q047,35 - 44,21.840740740740742,Percent of adults who engage in no leisure-time physical activity
2018,All Races,Both Sexes,78.7,723.6,Q047,45 - 54,25.057407407407407,Percent of adults who engage in no leisure-time physical activity
2018,All Races,Both Sexes,78.7,723.6,Q047,55 - 64,28.16111111111111,Percent of adults who engage in no leisure-time physical activity
2018,All Races,Both Sexes,78.7,723.6,Q047,65 or older,32.446296296296296,Percent of adults who engage in no leisure-time physical activity
2017,All Races,Both Sexes,78.6,731.9,Q018,18 - 24,40.638888888888886,Percent of adults who report consuming fruit less than one time daily
2017,All Races,Both Sexes,78.6,731.9,Q018,25 - 34,37.672222222222224,Percent of adults who report consuming fruit less than one time daily
2017,All Races,Both Sexes,78.6,731.9,Q018,35 - 44,36.71666666666667,Percent of adults who report consuming fruit less than one time daily
2017,All Races,Both Sexes,78.6,731.9,Q018,45 - 54,39.318518518518516,Percent of adults who report consuming fruit less than one time daily
2017,All Races,Both Sexes,78.6,731.9,Q018,55 - 64,37.6037037037037,Percent of adults who report consuming fruit less than one time daily
2017,All Races,Both Sexes,78.6,731.9,Q018,65 or older,32.32222222222222,Percent of adults who report consuming fruit less than one time daily
2017,All Races,Both Sexes,78.6,731.9,Q019,18 - 24,24.62037037037037,Percent of adults who report consuming vegetables less than one time daily
2017,All Races,Both Sexes,78.6,731.9,Q019,25 - 34,18.766666666666666,Percent of adults who report consuming vegetables less than one time daily
2017,All Races,Both Sexes,78.6,731.9,Q019,35 - 44,17.42962962962963,Percent of adults who report consuming vegetables less than one time daily
2017,All Races,Both Sexes,78.6,731.9,Q019,45 - 54,17.896296296296295,Percent of adults who report consuming vegetables less than one time daily
2017,All Races,Both Sexes,78.6,731.9,Q019,55 - 64,17.946296296296296,Percent of adults who report consuming vegetables less than one time daily
2017,All Races,Both Sexes,78.6,731.9,Q019,65 or older,17.462962962962962,Percent of adults who report consuming vegetables less than one time daily
2017,All Races,Both Sexes,78.6,731.9,Q036,18 - 24,17.392592592592592,Percent of adults aged 18 years and older who have obesity
2017,All Races,Both Sexes,78.6,731.9,Q036,25 - 34,29.55925925925926,Percent of adults aged 18 years and older who have obesity
2017,All Races,Both Sexes,78.6,731.9,Q036,35 - 44,34.038888888888884,Percent of adults aged 18 years and older who have obesity
2017,All Races,Both Sexes,78.6,731.9,Q036,45 - 54,36.64074074074074,Percent of adults aged 18 years and older who have obesity
2017,All Races,Both Sexes,78.6,731.9,Q036,55 - 64,35.422222222222224,Percent of adults aged 18 years and older who have obesity
2017,All Races,Both Sexes,78.6,731.9,Q036,65 or older,28.694444444444443,Percent of adults aged 18 years and older who have obesity
2017,All Races,Both Sexes,78.6,731.9,Q037,18 - 24,26.857407407407408,Percent of adults aged 18 years and older who have an overweight classification
2017,All Races,Both Sexes,78.6,731.9,Q037,25 - 34,32.987037037037034,Percent of adults aged 18 years and older who have an overweight classification
2017,All Races,Both Sexes,78.6,731.9,Q037,35 - 44,35.461111111111116,Percent of adults aged 18 years and older who have an overweight classification
2017,All Races,Both Sexes,78.6,731.9,Q037,45 - 54,36.57037037037037,Percent of adults aged 18 years and older who have an overweight classification
2017,All Races,Both Sexes,78.6,731.9,Q037,55 - 64,37.18333333333334,Percent of adults aged 18 years and older who have an overweight classification
2017,All Races,Both Sexes,78.6,731.9,Q037,65 or older,38.7537037037037,Percent of adults aged 18 years and older who have an overweight classification
2017,All Races,Both Sexes,78.6,731.9,Q043,18 - 24,52.43703703703704,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
2017,All Races,Both Sexes,78.6,731.9,Q043,25 - 34,48.544444444444444,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
2017,All Races,Both Sexes,78.6,731.9,Q043,35 - 44,48.153703703703705,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
2017,All Races,Both Sexes,78.6,731.9,Q043,45 - 54,47.96851851851852,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
2017,All Races,Both Sexes,78.6,731.9,Q043,55 - 64,49.681481481481484,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
2017,All Races,Both Sexes,78.6,731.9,Q043,65 or older,52.211111111111116,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
