Year,Race,Average Life Expectancy (Years),Age-adjusted Death Rate,QuestionID,Data_Value,Question
2017,Black,75.3,854.1,Q018,40.63953488372093,Percent of adults who report consuming fruit less than one time daily
2017,Black,75.3,854.1,Q019,25.709302325581394,Percent of adults who report consuming vegetables less than one time daily
2017,Black,75.3,854.1,Q036,37.77441860465116,Percent of adults aged 18 years and older who have obesity
2017,Black,75.3,854.1,Q037,33.71860465116279,Percent of adults aged 18 years and older who have an overweight classification
2017,Black,75.3,854.1,Q043,43.825581395348834,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
2017,Black,75.3,854.1,Q044,20.330232558139535,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week
2017,Black,75.3,854.1,Q045,27.023255813953487,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
2017,Black,75.3,854.1,Q046,31.990697674418602,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week
2017,Black,75.3,854.1,Q047,31.147727272727273,Percent of adults who engage in no leisure-time physical activity
2017,Black,78.5,706.1,Q018,40.63953488372093,Percent of adults who report consuming fruit less than one time daily
2017,Black,78.5,706.1,Q019,25.709302325581394,Percent of adults who report consuming vegetables less than one time daily
2017,Black,78.5,706.1,Q036,37.77441860465116,Percent of adults aged 18 years and older who have obesity
2017,Black,78.5,706.1,Q037,33.71860465116279,Percent of adults aged 18 years and older who have an overweight classification
2017,Black,78.5,706.1,Q043,43.825581395348834,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
2017,Black,78.5,706.1,Q044,20.330232558139535,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week
2017,Black,78.5,706.1,Q045,27.023255813953487,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
2017,Black,78.5,706.1,Q046,31.990697674418602,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week
2017,Black,78.5,706.1,Q047,31.147727272727273,Percent of adults who engage in no leisure-time physical activity
2017,Black,71.9,1049.5,Q018,40.63953488372093,Percent of adults who report consuming fruit less than one time daily
2017,Black,71.9,1049.5,Q019,25.709302325581394,Percent of adults who report consuming vegetables less than one time daily
2017,Black,71.9,1049.5,Q036,37.77441860465116,Percent of adults aged 18 years and older who have obesity
2017,Black,71.9,1049.5,Q037,33.71860465116279,Percent of adults aged 18 years and older who have an overweight classification
2017,Black,71.9,1049.5,Q043,43.825581395348834,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
2017,Black,71.9,1049.5,Q044,20.330232558139535,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week
2017,Black,71.9,1049.5,Q045,27.023255813953487,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
