QuestionID,Age(years),Data_Value
Q018,18 - 24,43.891304347826086
Q018,25 - 34,41.606832298136645
Q018,35 - 44,39.04347826086956
Q018,45 - 54,41.429813664596274
Q018,55 - 64,39.66583850931677
Q018,65 or older,33.66770186335404
Q019,18 - 24,26.58385093167702
Q019,25 - 34,20.393788819875777
Q019,35 - 44,17.885714285714286
Q019,45 - 54,19.143478260869564
Q019,55 - 64,19.366459627329192
Q019,65 or older,18.93913043478261
Q036,18 - 24,17.75144312393888
Q036,25 - 34,28.883361629881154
Q036,35 - 44,33.90152801358234
Q036,45 - 54,35.91307300509338
Q036,55 - 64,34.83056027164686
Q036,65 or older,27.87707979626485
Q037,18 - 24,25.830899830220712
Q037,25 - 34,33.14057724957555
Q037,35 - 44,35.61528013582343
Q037,45 - 54,36.59881154499151
Q037,55 - 64,37.5295415959253
Q037,65 or older,39.011884550084886
Q043,18 - 24,53.664905660377364
Q043,25 - 34,49.69396226415094
Q043,35 - 44,49.333207547169806
Q043,45 - 54,49.46150943396226
Q043,55 - 64,50.35207547169811
Q043,65 or older,52.71924528301887
Q044,18 - 24,29.028301886792452
Q044,25 - 34,22.774716981132077
Q044,35 - 44,20.339622641509433
Q044,45 - 54,18.846037735849055
Q044,55 - 64,17.544528301886793
Q044,65 or older,17.472830188679247
Q045,18 - 24,31.788679245283017
Q045,25 - 34,27.59584905660377
Q045,35 - 44,28.188301886792452
Q045,45 - 54,29.97509433962264
Q045,55 - 64,32.654716981132076
Q045,65 or older,38.48792452830188
Q046,18 - 24,44.78528301886793
Q046,25 - 34,35.86566037735849
Q046,35 - 44,30.713207547169812
Q046,45 - 54,27.167547169811318
Q046,55 - 64,25.053962264150943
Q046,65 or older,24.112075471698112
Q047,18 - 24,17.042517006802722
Q047,25 - 34,20.31836734693878
Q047,35 - 44,22.816326530612244
Q047,45 - 54,25.790306122448982
Q047,55 - 64,28.08078231292517
Q047,65 or older,32.21632653061224
